video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=LYVwbB2-tnE&pp=ygUIcG9sbHVpb24%3D,/channel/UCACyrFBcUVl0Tc-88yTVssg,Pants Bear Kids - Cartoons,Pollution | Types of Pollution | Science for kids | #Pantsbear,226K,2 years,The different types of pollution in the world from air pollution to water pollution. Find out how pollution affects us and what we can ...,2026-01-22 06:19:20.698592
/watch?v=9GV4OKPkgTQ&pp=ygUIcG9sbHVpb24%3D,/@funworldforkids,Fun World For Kids,What is Pollution (Learning Videos for Kids),91K,1 year,"Ever wondered why the park isn't as clean as it used to be, or why sometimes the air feels a little yucky? It might be something ...",2026-01-22 06:19:20.699878
/shorts/7VGuFLdw7Dw,/@trtworld,TRT World,Indian minister falls sick after drinking polluted water,802K,3 years,The Chief Minister of India's Punjab State was hospitalised with a severe stomach ache after drinking a glass of polluted water ...,2026-01-22 06:19:20.701768
/shorts/UP0QAHYrrSs,/@DWPlanetA,DW Planet A,How Beijing improved its air pollution,279K,1 year,"A decade ago, Beijing was dubbed the 'airpocalypse.' But then one smart trick helped the city cut its air pollution by 21% in just ...",2026-01-22 06:19:28.974805
/watch?v=Tds3k97aAzo&pp=ygUJcG9sbHV0aW9u,/@LetsLearnPublicHealth,Let's Learn Public Health,Air pollution 101- Breathing deadly air,739K,8 years,"In this video, we take a look at outdoor and indoor air pollution. Air pollution is a major environmental health risk leading to the ...",2026-01-22 06:19:28.989391
/watch?v=uRE_DndxwaA&t=467s&pp=ygUJcG9sbHV0aW9u,/@TheEconomist,The Economist,Who is polluting the ocean with plastic?,433K,2 years,"Plastic pollution is destroying ocean life and coastal livelihoods. With small island states suffering most, what do they reveal about ...",2026-01-22 06:19:29.003343
/watch?v=N3OgxVjZy9w&pp=ygUJcG9sbHV0aW9u,/@littleschooltv,Little School,Pollution | Science for Kids,53K,2 years,"pollution Hey kids! In today's video, we will be learning about Pollution. Did you know that there are several types of pollution that ...",2026-01-22 06:19:29.009240
/shorts/Ssmkpys6n8A,/@besmart,Be Smart,You’ll be SHOCKED when you see how bad pollution used to be 🤢,691K,8 months,Another YouTube #shorts from Dr. Joe! Subscribe for more fun science stories. Join us on Patreon!,2026-01-22 06:19:29.016057
/watch?v=6jkN50X9gZc&pp=ygUJcG9sbHV0aW9u,/@besmart,Be Smart,Why the Plastic Pollution Problem Is So Much Worse Than You Think,758K,4 years,Can we really clean our way out of this problem? We're on PATREON! Join the community ...,2026-01-22 06:19:29.024149
/watch?v=GNGKsubYJ9U&pp=ygUJcG9sbHV0aW9u,/@Bozemanscience1,Bozeman Science,Water Pollution,383K,10 years,030 - Water Pollution In this video Paul Andersen explains how water quality can be degraded by pollutants. Wastewater is the ...,2026-01-22 06:19:29.031871
/watch?v=GPux33UVG_c&pp=ygUJcG9sbHV0aW9u,/@Peekaboo_Kidz,Peekaboo Kidz,What Causes Radioactive Pollution? | Radiation |  The Dr Binocs Show | Peekaboo Kidz,588K,4 years,What Causes Radioactive Pollution? | Radioactive Pollution | Radiation | Radiation Effects | Type Of Radiation | Radio Waves ...,2026-01-22 06:19:29.035891
/shorts/MfPkcdiBCys,/@HabibDrawingSchool,Habib Drawing School,Air Pollution Drawing #shorts #drawing #pollution,802K,11 months,How to draw air pollution easy step #shorts #art #habibdrawingschool.,2026-01-22 06:19:29.044994
/watch?v=ufxo6NmSJPY&list=RDufxo6NmSJPY&start_radio=1&pp=ygUJcG9sbHV0aW9uoAcB,/@JunyTonyEN,JunyTony - Songs and Stories,💩💦 Eww! The Water Smells Like Poo! | Water pollution | Environment Songs for Kids | JunyTony,9.4M,3 years,Visit JunyTony YouTube channel and enjoy the most exciting songs and stories for children.,2026-01-22 06:19:29.055906
/watch?v=Hnfdq2htoKU&pp=ygUJcG9sbHV0aW9u,/@Peekaboo_Kidz,Peekaboo Kidz,What Is SOIL POLLUTION | LAND POLLUTION | What Causes Soil Pollution | Dr Binocs Show |Peekaboo Kidz,1.4M,5 years,"Hey kids, in this video, Dr Binocs will explain, Soil Pollution | What Is Soil Pollution? | Land Pollution | What is Land Pollution?",2026-01-22 06:19:29.067860
/watch?v=GVBeY1jSG9Y&pp=ygUJcG9sbHV0aW9u,/@who,World Health Organization (WHO),WHO: Breathe Life - How air pollution impacts your body,501K,7 years,"Air pollution is an invisible killer that lurks all around us, preying on the young and old. Learn how it slips unnoticed past our ...",2026-01-22 06:19:29.075949
/watch?v=x95DyJucHZ8&pp=ygUJcG9sbHV0aW9u,/@ClimateReality,Climate Reality,Climate Health Connection   Environmental Pollution,69K,6 years,http://climaterealityproject.org.,2026-01-22 06:19:29.080393
/watch?v=zC4saZg6sG0&pp=ygUJcG9sbHV0aW9u,/@ruhicenetdocs,Ruhi Cenet Documentaries,Visiting the MOST AIR POLLUTED CITY in the World (Dust Hell),9.5M,4 years,If you want to give me budget support ▻ https://bit.ly/3FSVICF Visiting the World's Most Daпgeгous Road: “Karakoram Road” ...,2026-01-22 06:19:29.081720
/watch?v=-a9gTgHel9E&pp=ygUJcG9sbHV0aW9u,/@babybus,BabyBus - Kids Songs and Cartoons,Water Pollution Rescue Mission | Safety Rules | Stories | Sheriff Labrador | Kids Cartoon | BabyBus,12M,7 months,BabyBus Viewer Feedback Survey: https://forms.gle/AqmeRbBk6k4dARMt7 Subscribe for new videos every week! ❤ Sheriff ...,2026-01-22 06:19:29.092602
/shorts/ZLhhkpFnUAI,/@beyondborders_maps,Beyond Borders,The Great Pacific Garbage Patch: A Map of Plastic Pollution,396K,1 year,"The Great Pacific Garbage Patch, a shocking concentration of marine debris, is mapped out in this eye-opening animation.",2026-01-22 06:19:29.095897
/shorts/Myf7s-DNtVc,/@Shikshatarget786,Shiksha Target,"🌫️ Long Essay on Pollution | Causes, Effects & Solutions | Notebook Style",316K,4 months,"Long Essay on Pollution | Causes, Effects & Solutions | Notebook A neat notebook style essay on pollution — air, water, land and ...",2026-01-22 06:19:29.097229
/watch?v=6IKaUTYWtvg&pp=ygUJcG9sbHV0aW9u,/@MedicalCentric,Medical Centric Podcast,"Air Pollution: How It Affects Us, Prevention and Treatment.",177K,3 years,Chapters 0:00 Introduction 0:47 The effects of air pollution 2:23 Prevention and treatment of Air Pollution Air pollution is the ...,2026-01-22 06:19:37.796099
/shorts/7kctMekInL0,/@angryearth,ANGRY EARTH,Stop Plastic Pollution III. #shorts,42M,3 years,Pls support 4ocean.com.,2026-01-22 06:19:37.797765
/shorts/Ra4TqBMH2rY,/@essaywriting9454,Don't Stop Learning,10 Lines Essay on Pollution/ 10 Lines on Pollution/ Essay on Pollution,108K,1 year,pollution #essaywriting #10linesessayforkids #essaywritinginenglish #essay #10linesessay #handwritingstyles #handwriting.,2026-01-22 06:19:37.799538
/watch?v=uxugaMpt1vU&list=RDuxugaMpt1vU&start_radio=1&pp=ygUJcG9sbHV0aW9uoAcB,/channel/UCqFji0pQ0tIH7b_50KAgqLg,Beck,Beck - The New Pollution (Official Music Video),8.2M,16 years,REMASTERED IN HD! Music video by Beck performing The New Pollution. (C) 1996 Geffen Records #Beck #TheNewPollution ...,2026-01-22 06:19:37.803428
/shorts/HLVK0UpO-bA,/@TeachJilani,Teach Jilani,essay on the pollution in English,992K,1 year,Essay on Pollution in english|Pollution par essay|Pollution essay in english writing|Pollution essay your questions ...,2026-01-22 06:19:37.807252
/shorts/1m4m7Qxftic,/@IndianNationalCongress,Indian National Congress,Can We Solve Delhi’s Air Pollution Crisis | Rahul Gandhi,74K,1 year,Can We Solve Delhi's Air Pollution Crisis | Rahul Gandhi Description:- The Official Youtube Account of India's Most Vibrant ...,2026-01-22 06:19:37.811311
